code,char,source,notes
0x0213,体,codeJAP14x14_10_,partial manual atlas transcription
0x0214,李,codeJAP14x14_10_,partial manual atlas transcription
0x0215,遊,codeJAP14x14_10_,partial manual atlas transcription
0x0216,励,codeJAP14x14_10_,partial manual atlas transcription
0x0217,乃,codeJAP14x14_10_,partial manual atlas transcription
0x0218,定,codeJAP14x14_10_,partial manual atlas transcription
0x0219,経,codeJAP14x14_10_,partial manual atlas transcription
0x021a,過,codeJAP14x14_10_,partial manual atlas transcription
0x021b,日,codeJAP14x14_10_,partial manual atlas transcription
0x021c,月,codeJAP14x14_10_,partial manual atlas transcription
0x021d,乙,codeJAP14x14_10_,partial manual atlas transcription
0x021e,賞,codeJAP14x14_10_,partial manual atlas transcription
0x021f,撒,codeJAP14x14_10_,partial manual atlas transcription
0x0220,金,codeJAP14x14_10_,partial manual atlas transcription
0x0221,慎,codeJAP14x14_10_,partial manual atlas transcription
0x0222,製,codeJAP14x14_10_,partial manual atlas transcription
0x0223,防,codeJAP14x14_10_,partial manual atlas transcription
0x0224,御,codeJAP14x14_10_,partial manual atlas transcription
0x0225,理,codeJAP14x14_10_,partial manual atlas transcription
0x0226,完,codeJAP14x14_10_,partial manual atlas transcription
0x0227,耐,codeJAP14x14_10_,partial manual atlas transcription
0x0228,効,codeJAP14x14_10_,partial manual atlas transcription
0x0229,果,codeJAP14x14_10_,partial manual atlas transcription
0x022a,帥,codeJAP14x14_10_,partial manual atlas transcription
0x022b,画,codeJAP14x14_10_,partial manual atlas transcription
0x022c,隔,codeJAP14x14_10_,partial manual atlas transcription
0x022d,応,codeJAP14x14_10_,partial manual atlas transcription
0x022e,版,codeJAP14x14_10_,partial manual atlas transcription
0x022f,府,codeJAP14x14_10_,partial manual atlas transcription
0x0230,織,codeJAP14x14_10_,partial manual atlas transcription
0x0231,面,codeJAP14x14_10_,partial manual atlas transcription
0x0232,系,codeJAP14x14_10_,partial manual atlas transcription
0x0233,腕,codeJAP14x14_10_,partial manual atlas transcription
0x0234,殻,codeJAP14x14_10_,partial manual atlas transcription
0x0235,抽,codeJAP14x14_10_,partial manual atlas transcription
0x0236,自,codeJAP14x14_10_,partial manual atlas transcription
0x0237,流,codeJAP14x14_10_,partial manual atlas transcription
0x0238,制,codeJAP14x14_10_,partial manual atlas transcription
0x0239,撃,codeJAP14x14_10_,partial manual atlas transcription
0x023a,起,codeJAP14x14_10_,partial manual atlas transcription
0x023b,妨,codeJAP14x14_10_,partial manual atlas transcription
0x023c,害,codeJAP14x14_10_,partial manual atlas transcription
0x023d,置,codeJAP14x14_10_,partial manual atlas transcription
0x023e,映,codeJAP14x14_10_,partial manual atlas transcription
0x023f,笙,codeJAP14x14_10_,partial manual atlas transcription
0x0240,迷,codeJAP14x14_10_,partial manual atlas transcription
0x0241,彡,codeJAP14x14_10_,partial manual atlas transcription
0x0242,官,codeJAP14x14_10_,partial manual atlas transcription
0x0243,突,codeJAP14x14_10_,partial manual atlas transcription
0x0244,滞,codeJAP14x14_10_,partial manual atlas transcription
0x0245,裕,codeJAP14x14_10_,partial manual atlas transcription
0x0246,他,codeJAP14x14_10_,partial manual atlas transcription
0x0247,視,codeJAP14x14_10_,partial manual atlas transcription
0x0248,罨,codeJAP14x14_10_,partial manual atlas transcription
0x0249,擦,codeJAP14x14_10_,partial manual atlas transcription
0x024a,載,codeJAP14x14_10_,partial manual atlas transcription
0x024b,械,codeJAP14x14_10_,partial manual atlas transcription
0x024c,補,codeJAP14x14_10_,partial manual atlas transcription
0x024d,給,codeJAP14x14_10_,partial manual atlas transcription
0x024e,移,codeJAP14x14_10_,partial manual atlas transcription
0x024f,激,codeJAP14x14_10_,partial manual atlas transcription
0x0250,冷,codeJAP14x14_10_,partial manual atlas transcription
0x0251,刺,codeJAP14x14_10_,partial manual atlas transcription
0x0252,背,codeJAP14x14_10_,partial manual atlas transcription
0x0253,合,codeJAP14x14_10_,partial manual atlas transcription
0x0254,可,codeJAP14x14_10_,partial manual atlas transcription
0x0255,半,codeJAP14x14_10_,partial manual atlas transcription
0x0256,導,codeJAP14x14_10_,partial manual atlas transcription
0x0257,砕,codeJAP14x14_10_,partial manual atlas transcription
0x0258,華,codeJAP14x14_10_,partial manual atlas transcription
0x0259,下,codeJAP14x14_10_,partial manual atlas transcription
0x025a,未,codeJAP14x14_10_,partial manual atlas transcription
0x025b,成,codeJAP14x14_10_,partial manual atlas transcription
0x025c,已,codeJAP14x14_10_,partial manual atlas transcription
0x025d,修,codeJAP14x14_10_,partial manual atlas transcription
0x025e,後,codeJAP14x14_10_,partial manual atlas transcription
0x025f,久,codeJAP14x14_10_,partial manual atlas transcription
0x0260,然,codeJAP14x14_10_,partial manual atlas transcription
0x0261,生,codeJAP14x14_10_,partial manual atlas transcription
0x0262,滅,codeJAP14x14_10_,partial manual atlas transcription
0x0263,千,codeJAP14x14_10_,partial manual atlas transcription
