code,char,block,index,child,source,cell,runtime_texture,base,confidence,notes
0x01d1,ぁ,hiragana,0,2,codeJAP14x14_02_,47,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01d2,あ,hiragana,1,2,codeJAP14x14_02_,48,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01d3,ぃ,hiragana,2,2,codeJAP14x14_02_,49,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01d4,い,hiragana,3,2,codeJAP14x14_02_,50,0x040e0400,0x01a2,seeded,matches existing seed point
0x01d5,ぅ,hiragana,4,2,codeJAP14x14_02_,51,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01d6,う,hiragana,5,2,codeJAP14x14_02_,52,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01d7,ぇ,hiragana,6,2,codeJAP14x14_02_,53,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01d8,え,hiragana,7,2,codeJAP14x14_02_,54,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01d9,ぉ,hiragana,8,2,codeJAP14x14_02_,55,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01da,お,hiragana,9,2,codeJAP14x14_02_,56,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01db,か,hiragana,10,2,codeJAP14x14_02_,57,0x040e0400,0x01a2,seeded,matches existing seed point
0x01dc,が,hiragana,11,2,codeJAP14x14_02_,58,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01dd,き,hiragana,12,2,codeJAP14x14_02_,59,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01de,ぎ,hiragana,13,2,codeJAP14x14_02_,60,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01df,く,hiragana,14,2,codeJAP14x14_02_,61,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e0,ぐ,hiragana,15,2,codeJAP14x14_02_,62,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e1,け,hiragana,16,2,codeJAP14x14_02_,63,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e2,げ,hiragana,17,2,codeJAP14x14_02_,64,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e3,こ,hiragana,18,2,codeJAP14x14_02_,65,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e4,ご,hiragana,19,2,codeJAP14x14_02_,66,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e5,さ,hiragana,20,2,codeJAP14x14_02_,67,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e6,ざ,hiragana,21,2,codeJAP14x14_02_,68,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e7,し,hiragana,22,2,codeJAP14x14_02_,69,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e8,じ,hiragana,23,2,codeJAP14x14_02_,70,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01e9,す,hiragana,24,2,codeJAP14x14_02_,71,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01ea,ず,hiragana,25,2,codeJAP14x14_02_,72,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01eb,せ,hiragana,26,2,codeJAP14x14_02_,73,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01ec,ぜ,hiragana,27,2,codeJAP14x14_02_,74,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01ed,そ,hiragana,28,2,codeJAP14x14_02_,75,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01ee,ぞ,hiragana,29,2,codeJAP14x14_02_,76,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01ef,た,hiragana,30,2,codeJAP14x14_02_,77,0x040e0400,0x01a2,seeded,matches existing seed point
0x01f0,だ,hiragana,31,2,codeJAP14x14_02_,78,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f1,ち,hiragana,32,2,codeJAP14x14_02_,79,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f2,ぢ,hiragana,33,2,codeJAP14x14_02_,80,0x040e0400,0x01a2,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f3,っ,hiragana,34,2,codeJAP14x14_02_,0,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f4,つ,hiragana,35,2,codeJAP14x14_02_,1,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f5,づ,hiragana,36,2,codeJAP14x14_02_,2,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f6,て,hiragana,37,2,codeJAP14x14_02_,3,0x040e0400,0x01f3,seeded,matches existing seed point
0x01f7,で,hiragana,38,2,codeJAP14x14_02_,4,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f8,と,hiragana,39,2,codeJAP14x14_02_,5,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f9,ど,hiragana,40,2,codeJAP14x14_02_,6,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01fa,な,hiragana,41,2,codeJAP14x14_02_,7,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01fb,に,hiragana,42,2,codeJAP14x14_02_,8,0x040e0400,0x01f3,seeded,matches existing seed point
