code,char,source,notes
0x000a,"\n",DATA001_0012_entries_140_143,confirmed newline in Briareos pre-fight transcript
0x0101,、,DATA001_0012_entries_140_143,confirmed punctuation in Briareos pre-fight transcript
0x0102,。,DATA001_0012_entries_140_143,confirmed punctuation in Briareos pre-fight transcript
0x0108,？,DATA001_0012_entries_165_171,confirmed punctuation in Briareos post-fight transcript
0x0109,！,DATA001_0012_entries_140_143,confirmed punctuation in Briareos pre-fight transcript
0x011b,ー,DATA001_0012_entry_140,confirmed long vowel mark
0x0123,…,DATA001_0012_entries_140_142,confirmed ellipsis
0x01b7,a,DATA001_0012_entry_143,confirmed half-width romaji
0x01bb,e,DATA001_0012_entries_141_143,confirmed half-width romaji
0x01bd,g,DATA001_0012_entry_143,confirmed half-width romaji
0x01c1,ｋ,DATA001_0012_entry_142,confirmed half-width kana-style latin
0x01c4,n,DATA001_0012_entry_141,confirmed half-width romaji
0x01c5,o,DATA001_0012_entry_142,confirmed half-width romaji
0x01cd,ｗ,DATA001_0012_entry_142,confirmed full-width lowercase w
0x01cf,y,DATA001_0012_entry_142,confirmed half-width romaji
0x01d4,い,DATA001_0012_entries_162_174,confirmed Briareos post-fight transcript
0x01db,か,DATA001_0012_entry_174,confirmed Briareos post-fight transcript
0x01ef,た,DATA001_0012_entry_162,confirmed Briareos post-fight transcript
0x01f6,て,DATA001_0012_entry_173,confirmed Briareos post-fight transcript
0x01fb,に,DATA001_0012_entry_174,confirmed Briareos post-fight transcript
0x01fe,の,DATA001_0012_entry_174,confirmed Briareos post-fight transcript
0x020e,ま,DATA001_0012_entries_162_173,confirmed Briareos post-fight transcript
0x021b,る,DATA001_0012_entry_173,confirmed Briareos post-fight transcript
0x021c,れ,DATA001_0012_entry_173,confirmed Briareos post-fight transcript
0x0227,イ,DATA001_0012_entries_140_142,confirmed katakana
0x0229,ウ,DATA001_0012_entries_140_142,confirmed katakana
0x0225,ア,DATA001_0012_entry_160,confirmed katakana
0x022b,エ,DATA001_0012_entries_170_171,confirmed katakana
0x022d,オ,DATA001_0012_entries_140_142,confirmed katakana
0x022e,カ,DATA001_0012_entry_141,confirmed katakana
0x022f,ガ,DATA001_0012_entry_143,confirmed katakana
0x0235,ゲ,DATA001_0012_entry_161,confirmed katakana ge in post-fight transcript
0x0230,キ,DATA001_0012_entry_140,confirmed katakana
0x0232,ク,DATA001_0012_entries_140_143,confirmed katakana
0x0237,ゴ,DATA001_0012_entry_170,confirmed katakana
0x0236,コ,DATA001_0012_entry_142,confirmed katakana
0x0238,サ,DATA001_0012_entry_141,confirmed katakana
0x023a,シ,DATA001_0012_entry_140,confirmed katakana
0x023c,ス,DATA001_0012_entries_163_164,confirmed katakana
0x023d,ズ,DATA001_0012_entry_164,confirmed katakana
0x023e,セ,DATA001_0012_entry_143,confirmed katakana
0x0240,ソ,DATA001_0012_entry_161,confirmed katakana
0x0242,タ,DATA001_0012_entry_140,confirmed katakana
0x0243,ダ,DATA001_0012_entries_164_173,confirmed katakana
0x0246,ッ,DATA001_0012_entries_162_172,confirmed small katakana tsu
0x0247,ツ,DATA001_0012_entry_142,confirmed katakana
0x0249,テ,DATA001_0012_entry_143,confirmed katakana
